Agency Name,Agency Code
National Center for Veteran Analysis and Statistics,VAHD
Office of the Assistant Secretary for Public and Intergovernmental Affairs,VAJA
Deputy Assistant Secretary for Intergovernmental Affairs,VAJB
Deputy Assistant Secretary for Public Affairs,VAJC
Immediate Office of the Assistant Secretary for Congressional and Legislative Affairs,VAKA
Deputy Assistant Secretary for Congressional Affairs,VAKB
Veterans Benefits Administration,VALA
National Cemetery Administration,VAPA
Veterans Health Administration,VATA
USAJOBS Staff Use Only,0000
Armed Forces Enlistment - No Civilian Jobs,0800
State Government,2000
State of California,2CA0
State of Georgia,2GA0
State of Hawaii,2HI0
State of Maryland,2MD0
State of New Jersey,2NJ0
State of Ohio,2OH0
State of Virginia,2VA0
Local and County Government,4000
District of Columbia Government,4DC0
Los Angeles County Government,4LA0
Oklahoma City Government,4OK0
Air Force National Guard,8FNG
Army/Air National Guard,8RNG
American Battle Monuments Commission,AB00
National Endowment for the Arts,AH01
National Endowment for the Humanities,AH02
Institute of Museum and Library Services,AH03
U.S. Institute Of Peace,AI00
U.S. Agency for International Development,AM00
African Development Foundation,AN00
Appalachian Regional Commission,AP00
Federal Labor Relations Authority,AU00
Arctic Research Commission,AW00
Merit Systems Protection Board,BD00
Defense Nuclear Facilities Safety Board,BF00
Pension Benefit Guaranty Corporation,BG00
Commission for the Preservation of America's Heritage Abroad,BH00
Illinois and Michigan Canal National Heritage Corridor Commission,BJ00
James Madison Memorial Fellowship Foundation,BK00
Office of Management and Budget,BO00
Architectural and Transportation Barriers Compliance Board,BT00
Nuclear Waste Technical Review Board,BW00
Christopher Columbus Fellowship Foundation,BZ00
Commission on Civil Rights,CC00
Council of Economic Advisers,CE00
Commission of Fine Arts,CF00
Central Intelligence Agency,CI00
Community Management,CICM
Commodity Futures Trading Commission,CT00
National Credit Union Administration,CU00
National Commission on Libraries and Information Science,CX00
Delta Regional Authority,DA00
Office of Policy Development,DC00
Export-Import Bank of the United States,EB00
Office of Administration,EC00
Equal Employment Opportunity Commission,EE00
Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,EO00
Environmental Protection Agency,EP00
Council on Environmental Quality/Office of Environmental Quality,EQ00
"Commission on Executive, Legislative, and Judicial Salaries",ES00
Trade and Development Agency,EW00
Executive Residence at the White House,EX00
Federal Communications Commission,FC00
Federal Deposit Insurance Corporation,FD00
Federal Financial Institutions Examination Council,FI00
Chemical Safety and Hazard Investigation Board,FJ00
Farm Credit System Insurance Corporation,FK00
Farm Credit Administration,FL00
Federal Mediation and Conciliation Service,FM00
Office of the Director,FQ01
Pretrial Services Agency,FQ02
Federal Reserve System-Board Of Governors,FR00
Federal Trade Commission,FT00
Office of Special Counsel,FW00
Federal Housing Finance Board,FY00
Development Finance Corporation,GB00
Barry Goldwater Scholarship and Excellence in Education Foundation,GE00
Office of Government Ethics,GG00
Presidio Trust,GJ00
Valles Caldera Trust,GM00
White House Commission on the National Moment of Remembrance,GN00
Vietnam Education Foundation,GO00
International Boundary and Water Commission: United States and Mexico,GW00
International Boundary Commission: United States and Canada,GX00
International Joint Commission: United States and Canada,GY00
Committee for Purchase from People Who Are Blind or Severely Disabled,HB00
U.S. Holocaust Memorial Museum,HD00
Advisory Council on Historic Preservation,HP00
Harry S. Truman Scholarship Foundation,HT00
U.S. Agency for Global Media,IB00
Inter-American Foundation,IF00
U.S. Courts,JL02
Administrative Office of the U.S. Courts,JL04
AmeriCorps,KS00
Architect of the Capitol,LA00
Botanic Garden,LB00
Library of Congress,LC00
Congressional Budget Office,LD00
Federal Election Commission,LF00
Government Accountability Office,LG00
Senate,LL01
House of Representatives,LL02
U.S. Capitol Police,LL03
Government Publishing Office,LP00
John C. Stennis Center for Public Service Training and Development,LQ00
U.S. Tax Court,JL03
Marine Mammal Commission,MA00
Federal Maritime Commission,MC00
National Science Foundation,NF00
National Council on Disability,NK00
National Labor Relations Board,NL00
National Mediation Board,NM00
National Capital Planning Commission,NP00
National Archives and Records Administration,NQ00
National Security Council,NS00
Nuclear Regulatory Commission,NU00
Office of Personnel Management,OM00
Occupational Safety and Health Review Commission,OS00
Office of the Vice President,OV00
Public International Organization,PI00
Postal Regulatory Commission,PJ00
U.S. Postal Service,PO00
Peace Corps,PU00
Office of National Drug Control Policy,QQ00
Office of Navajo and Hopi Indian Relocation,RE00
Federal Retirement Thrift Investment Board,RF00
Railroad Retirement Board,RR00
Federal Mine Safety and Health Review Commission,RS00
Small Business Administration,SB00
Securities and Exchange Commission,SE00
Consumer Product Safety Commission,SK00
National Gallery of Art,SM01
Woodrow Wilson International Center for Scholars,SM02
Smithsonian Institution ,SM03
John F. Kennedy Center for the Performing Arts,SM04
Selective Service System,SS00
Social Security Administration,SZ00
National Transportation Safety Board,TB00
U.S. International Trade Commission,TC00
Office of the U.S. Trade Representative,TN00
Office of Science and Technology Policy,TS00
Tennessee Valley Authority,TV00
Japan-United States Friendship Commission,UJ00
Utah Reclamation Mitigation and Conservation Commission,UT00
White House Office,WH01
Office of the President,WH03
U.S. Court of Appeals for Veterans Claims,ZD00
Office of Congressional Workplace Rights,ZG00
Commission on Advancement of Federal Law Enforcement,ZK00
Medicare Payment Advisory Commission,ZL00
Trade Deficit Review Commission,ZN00
Commission on Security and Cooperation in Europe,ZO00
U.S. Commission on International Religious Freedom,ZP00
United States-China Economic and Security Review Commission,ZS00
Dwight D. Eisenhower Memorial Commission,ZU00
Commission on the People's Republic of China,ZV00
Commission on Ocean Policy,ZW00
Abraham Lincoln Bicentennial Commission,ZX00
Nat Comm Terrorist Attacks - Terminated,ZZ00
Army Contracting Agency,ARAC
Indian Tribal Government,3000
Air Force Military Recruiting Activity,8AF0
Army Military Recruiting Activity,8AR0
Air Force Reserves,8FRS
Marine Corps Military Recruiting Activity,8MC0
Navy Reserves,8NRS
Navy Military Recruiting Activity,8NV0
Multi-agency,XX00
U.S. Army Network Enterprise Technology Command/9th Army Signal Command,ARG6
"Commander, Navy Installations",NV52
Army Reserves,8RRS
U.S. Interagency Council on Homelessness,HW00
Office of Federal Housing Enterprise Oversight,HUFH
Agriculture Demonstration Page,00AG
Forest Service Demonstration Page,00FS
Census Demonstration Page,00CE
Defense Demonstration Page,00DD
National Defense University,DD69
Army South Command,ARFL
Naval Education and Training Command,NV76
Election Assistance Commission,GQ00
"Air Force C2 & Intelligence, Surveillance & Reconnaissance",AF1A
"Air Force Elements, U.S. European Command",AF3K
Air Force Manpower Agency,AF11
Commission on Intelligence Capabilities of the U.S. Regarding Weapons of Mass Destruction,IW00
Millennium Challenge Corporation,MI00
"U.S. Army Research, Development and Engineering Command",ARXR
Transportation Administrative Service Center,TD18
Antitrust Modernization Commission,YB00
Legal Service Corporation,5LCS
Armed Forces Radiobiology Research Institute,DD70
Defense Microelectronics Activity,DD71
Pentagon Renovation Program Office,DD72
Virginia Contracting Activity,DD73
Commission on the Review of the Overseas Military Facility Structure of the United States,YA00
Office of the Chief Acquisition Officer,GS16
NASAwide,NNXX
Defense Technical Information Center,DD74
Deputy Assistant Secretary for Legislative Affairs,VAKC
Deputy Assistant Secretary for Security Preparedness,VAHE
Deputy Assistant Secretary for Security and Law Enforcement,VAHF
Department of Defense Test Resource Management Center,DD68
Air Force Wide Support Element,AF25
Air Force Civilian Career Training,AF1Y
U.S. Northern Command,AF4D
Air Force Nuclear Weapons Agency,AF21
Air Force Special Operations Command,AF0V
HQ USAF Direct Support Element,AF24
NASA Shared Services Center,NNNS
Defense Civilian Personnel Advisory Service,DD75
U.S. Army Recruiting Command and U.S. Army Cadet Command,ARTA
U.S. Army War College,ARTW
U.S. Military Entrance Processing Command,ARTM
Office of Communications and Outreach,EDEO
Office of the Director of National Intelligence,OI00
Department of Commerce,CMXX
Air Force District of Washington,AF4W
Business Transformation Agency,DD77
Federal Energy Regulatory Commission,DNFC
Federal Acquisition Service,GS30
Air Elements Defense Intelligence Agency,AF35
Public Interest Declassification Board,DB00
"Office of Planning, Evaluation and Policy Development",EDED
Defense Programs Support Activity,DD78
Denali Commission,DQ00
"Immediate Office of the Assistant Secretary for Operations, Security, and Preparedness",VAGA
Executive Director for Security and Law Enforcement,VAGB
Dep Asst Sec for Emergency Mgt & Resilience,VAGC
Western Area Power Administration,DNWP
Joint Improvised Explosive Device Defeat Organization,DD79
"GSA, Office of Mission Assurance",GS31
Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,DF00
Office of Strategic Communication,GS32
Air Force Financial Services,AF5J
Air Force Petroleum Agency,AF5K
Southwestern Power Administration,DNSW
U.S. Army Central,AR3A
U.S. Army North,AR5A
U.S. Army South,ARSO
Office of Intelligence & Analysis,HSIA
NASA Office of Inspector General,NNIG
Air Force Cyber Command,AF1K
United States Africa Command,AF1R
National Indian Gaming Commission,IN99
Defense Media Activity,DD80
"Office of the Inspector General, USPS",PO01
Federal Housing Finance Agency,HF00
"Department of Treasury, FedExperience",TRFE
Air Force Public Affairs Agency,AF12
HQ USAF and Support Elements,AF13
Air Force Global Strike Command,AFGS
Air Force Element OSD,AF39
Supreme Court of the United States,JL01
